author	aid	normdate	birth	death	raw	hasbirth	hasdeath	hasdates	estimate	place-birth	place-death	country-birth	continent-birth	first-name	preposition-name	second-name	gender	viafid	vf_bi	vf_de	vf_bi_esti	vf_de_esti	birth_diff	death_diff	vf_cand_n	auname_viaf	redo	match_type	vf_validation
Cancio y Madrigal, César	114n	19.5	1863	1922	Sancti Spiritus (Cuba). 1863 - La Habana. 1922 Humorista, escritor y poeta.	1	1	1	0	Sancti Spiritus (Cuba)	La Habana	Cuba	América	César		Cancio y Madrigal	M												medium
Casals y Llorente, Jorge	328n	19.5	XIX	XX	Cuba. Siglos XIX - XX Poeta.	0	0	0	0	Cuba		Cuba	América	Jorge		Casals y Llorente	M												medium
Castaing, Rodolfo	308n	19.5	XIX	XX	Costa Rica. Siglo XIX - XX Poeta. Prosista y erudito notable.	0	0	0	0	Costa Rica		Costa Rica	América	Rodolfo		Castaing	M												medium
Cataneo, Joaquín V.	255n	19.5	XIX	XX	Cuba. Siglos XIX - XX Poeta.	0	0	0	0	Cuba		Cuba	América	Joaquín V.		Cataneo	M												medium
Cazade, Enrique	472n	19.5	XIX	XX	Cuba. Siglos XIX - XX Poeta.	0	0	0	0	Cuba		Cuba	América	Enrique		Cazade	M	310591876								Enrique Cazade			high
Cidón, Antonio	254n	19.5	XIX	XX	Valencia. Siglos XIX - XX Escritor y poeta.	0	0	0	0	Valencia		España	Europa	Antonio		Cidón	M												medium
Cienfuegos, Casimiro	146n	19.5	XIX	XX	Andalucía. Siglo XIX - XX Poeta.	0	0	0	0	Andalucía		España	Europa	Casimiro		Cienfuegos	M	87890568								Casimiro Cienfuegos			high
Cisneros Cámara, A.	185n	19.5	XIX	XX	España. Siglo XIX - XX Poeta.	0	0	0	0	España		España	Europa	A.		Cisneros Cámara	M												medium
Cisneros, Consuelo C.	226n	19.5	XIX	XX	Cuba. Siglos XIX - XX Poeta.	0	0	0	0	Cuba		Cuba	América	Consuelo C.		Cisneros	F												medium
Cisneros, Jeremías	230n	19.5	1845	1903	Honduras. 1845 - 1903 Poeta hallado en Internet.	1	1	1	0	Honduras		Honduras	América	Jeremías		Cisneros	M												medium
Coello, Adán	541n	19.5	1885	1929	Honduras. 1885 - 1929 Poeta hallado en Internet.	1	1	1	0	Honduras		Honduras	América	Adán		Coello	M												medium
Cordero Leiva, Primitivo	065n	19.5	XIX	XX	España. Siglo XIX - XX Poeta.	0	0	0	0	España		España	Europa	Primitivo		Cordero Leiva	M												medium
Corpancho, Teobaldo Elías	423n	19.5	XIX	XX	Perú. Siglo XIX - XX	0	0	0	0	Perú		Perú	América	Teobaldo Elías		Corpancho	M	118490338								Teobaldo Elías Corpancho			high
Cotta, Juan Manuel	029n	19.5	XIX	XX	Argentina. Siglos XIX - XX Poeta.	0	0	0	0	Argentina		Argentina	América	Juan Manuel		Cotta	M	281891688								Juan Manuel Cotta	1		high
Cuevas, Julio de las	221n	19.5	XIX	XX	España. Siglos XIX - XX Poeta.	0	0	0	0	España		España	Europa	Julio de las		Cuevas	M												medium
Deheye, Pedro María	077n	19.5	1894	1918	Argentina. 1894 - 1918	1	1	1	0	Argentina		Argentina	América	Pedro María		Deheye	M												medium
Delgado, Canuto	432n	19.5	XIX	XX	España. Siglos XIX - XX Poeta.	0	0	0	0	España		España	Europa	Canuto		Delgado	M												medium
Della Costa, Pablo	8n	19.5	XIX	XX	Argentina. Siglos XIX - XX Poeta.	0	0	0	0	Argentina		Argentina	América	Pablo		Della Costa	M										1		medium
Díaz Romero, Eugenio	473n	19.5	XIX	XX	Argentina. Siglos XIX - XX Poeta.	0	0	0	0	Argentina		Argentina	América	Eugenio		Díaz Romero	M	87181471		1906	False	False		6	4	Eugenio Diaz Romero, 1906		exact	high
Díaz Silveira, Francisco	279n	19.5	1871	1924	La Habana (Cuba). 1871 - 1924 Periodista, escritor y poeta.	1	1	1	0	La Habana (Cuba)		Cuba	América	Francisco		Díaz Silveira	M												medium
Diego Pardo, J. I. de	209n	19.5	XIX	XX	Puerto Rico. Siglo XIX - XX	0	0	0	0	Puerto Rico		Puerto Rico	América	J. I.	de	Diego Pardo	M												medium
Dobles Segreda, Gonzalo	351n	19.5	XIX	XX	Costa Rica. Siglos XIX - XX Poeta. Ha publicado en revistas y periódicos.	0	0	0	0	Costa Rica		Costa Rica	América	Gonzalo		Dobles Segreda	M												medium
Duque de Amalfi	394n	19.5	XIX	XX	España. Siglos XIX - XX Poeta.	0	0	0	0	España		España	Europa	Duque de Amalfi			M												medium
Escobar, Emilio Antonio	569n	19.5	XIX	XX	Colombia. Siglo XIX - XX Poeta hallado en Internet.	0	0	0	0	Colombia		Colombia	América	Emilio Antonio		Escobar	M												medium
Espejo, María de los Ángeles	486n	19.5	XIX	XX	Cuba. Siglos XIX - XX Poeta.	0	0	0	0	Cuba		Cuba	América	María de los Ángeles		Espejo	F												medium
Esquijarosa, Milagros	259n	19.5	XIX	XX	Cuba. Siglos XIX - XX Poeta. Sevilla. Siglo XIX Poeta.	0	0	0	0	Cuba		Cuba	América	Milagros		Esquijarosa	M												medium
