poem_id	author_id	author	incipit	title
003t_0039_01	003t	Bernabé, Manuel	Este escudo, de heráldicas ejemplo,	HERÁLDICA – I
003t_0039_02	003t	Bernabé, Manuel	Es su color azul, azul celeste,	HERÁLDICA – II
003t_0039_03	003t	Bernabé, Manuel	Somos las rosas del Oriente hermoso,	HERÁLDICA – III
003t_0040	003t	Bernabé, Manuel	En las turbias tristezas de los atardeceres,	AL ATARDECER
003t_0041	003t	Bernabé, Manuel	Las eses transparentes de los ríos en fuga	PAISAJE DE ABANICO
003t_0042	003t	Bernabé, Manuel	¡Día de evocaciones tristes y religiosas	MORIR HABEMOS
003t_0043	003t	Bernabé, Manuel	¡Desfila la Legión! Soldado fuerte,	SOLDADO VIEJO
003t_0044	003t	Bernabé, Manuel	¿ Dónde estás, mi Bandera, que no ondeas	A MI BANDERA
003t_0045	003t	Bernabé, Manuel	¡Gloria al héroe! No importa que sucumba	FERGUSSON
003t_0046	003t	Bernabé, Manuel	¡LAONG-LAAN! Tu gloria, —la gloria de la diestra —	A LAONG - LAAN
003t_0047	003t	Bernabé, Manuel	Menudo el pie que pisa senderos peregrinos,	MUJER MODERNA
003t_0048	003t	Bernabé, Manuel	Mujer, yo te bendigo por lo que tú eres,	MUJER MODERNA II
003t_0049	003t	Bernabé, Manuel	¡Señor! Dios te ha llamado a su seno, y te fuiste	VIR BONUS I
003t_0050	003t	Bernabé, Manuel	Un día, por la senda de mi vivir complejo,	VIR BONUS II
003t_0051	003t	Bernabé, Manuel	Tenía las dulzuras de las calladas fuentes	VIR BONUS III
003t_0052	003t	Bernabé, Manuel	Fuiste pincel, fuiste buril divino,	A RIZAL
003t_0053	003t	Bernabé, Manuel	i Padre de nuestra redención! La gente,	¡PADRE DE NUESTRA REDENCIÓN! A W. A. JONES
003t_0054	003t	Bernabé, Manuel	Cuéntanme de tu gracia y ufanía	EN LA DISTANCIA
003t_0055	003t	Bernabé, Manuel	Dios ha puesto en el arco de tus cejas	SOLDADO*POETA
003t_0056	003t	Bernabé, Manuel	Tienes la dulce escondida	COMO LA OLA
003t_0057	003t	Bernabé, Manuel	Doce rosas en flor he deshojado	VESTISTE A MI DOLOR DE POESÍA
003t_0058	003t	Bernabé, Manuel	Mujer, ¿te acuerdas? Con la sien caída,	CASTIDAD
003t_0059	003t	Bernabé, Manuel	Al ver los oros tenues de tu encaje,	FÉMINA
003t_0060	003t	Bernabé, Manuel	Las once post-meriddem. Y la luna era un hacha	LASTICO-SEXUAL
003t_0061	003t	Bernabé, Manuel	Flor de pasión, esparces un aroma	ENIGMÁTICA
003t_0062	003t	Bernabé, Manuel	En la eterna tragedia de la suerte	HOLOCAUSTO
003t_0063	003t	Bernabé, Manuel	El mal del siglo tiene su tentáculo:	QUISICOSAS I DE MI VIDA
003t_0064	003t	Bernabé, Manuel	Amanece en el barrio. Desde el borde	QUISICOSAS II CUADRO MAÑANERO
003t_0065	003t	Bernabé, Manuel	Date a mí cuerpo a cuerpo. Tú me endosas	QUISICOSAS III A UNA
003t_0066	003t	Bernabé, Manuel	Se ha secado la rosa que me diste,	LA ROSA QUE ME DISTE
003t_0067	003t	Bernabé, Manuel	Hay un poco de sol. Labriego hermano,	AMOR INDIO
003t_0068	003t	Bernabé, Manuel	Tener la bolsa abierta para el pobre,	ESE ES EL HOMBRE
003t_0069	003t	Bernabé, Manuel	La Sibila ha hablado. Y el clarín de la Fama	BRINDIS CARNAVALESCO I
003t_0070	003t	Bernabé, Manuel	Brindo también por estas Musas de carne y hueso,	BRINDIS CARNAVALESCO II
003t_0071	003t	Bernabé, Manuel	¡Reina de la hermosura! Cuando yo era aún niño,	ELOGIO DE LA REINA I
003t_0072	003t	Bernabé, Manuel	Porque tú eres Cebú. En la sonrisa varia	ELOGIO DE LA REINA II
003t_0073	003t	Bernabé, Manuel	¡Cebuanos! De rodillas para decir su nombre,	ELOGIO DE LA REINA III
003t_0074	003t	Bernabé, Manuel	Claro, tú hicistes un telar de estrellas	ELOGIOS A RECTO I
003t_0075	003t	Bernabé, Manuel	Y pues diste en la clave, el misterio	ELOGIOS A RECTO II
003t_0076	003t	Bernabé, Manuel	Antes de abandonarte, ciudad maravillosa,	MI ADIÓS A ILOILO
003t_0077	003t	Bernabé, Manuel	Ya estás durmiendo en el solar, señora,	APOTESIS
003t_0078	003t	Bernabé, Manuel	Abriste tu ventana de oro - rosa,	PRELUDIO
003t_0079	003t	Bernabé, Manuel	Este poeta original, viril,	ISIDRO MARFORI
003t_0080	003t	Bernabé, Manuel	Señores: es la Misa. El Sacerdote sumo	LA MISA
003t_0081	003t	Bernabé, Manuel	Guerrero, nefelíbata de versos de rubíes,	PRESENTACIÓN
003t_0082	003t	Bernabé, Manuel	¡España, madrecita nuestra! Aunque estás lejana	CUATRO SIGLOS
003t_0083	003t	Bernabé, Manuel	Es día. El Pásig, que bosteza, siente	SABIHONDOS
003t_0084	003t	Bernabé, Manuel	Ha sonado en los aires la trompa lisonjera,	A ILOILO
003t_0085	003t	Bernabé, Manuel	Ante tu solio, su canción armónica	HA SONADO LA VOZ DE LOS HERMANOS I
003t_0086	003t	Bernabé, Manuel	Ha sonado la voz de los hermanos,	HA SONADO LA VOZ DE LOS HERMANOS II
003t_0087	003t	Bernabé, Manuel	¡Rica ciudad magnánima, Iloilo,	HA SONADO LA VOZ DE LOS HERMANOS III
003t_0088	003t	Bernabé, Manuel	¡ Reina Herminia! Por tu halo de primores,	ENVÍO
004g_0012_01	004g	Gómez Tejada de los Reyes, Cosme	Tiemble la tierra, y con furor horrendo	Sonetos burlescos al suspiro de Crisaura – - I -
004g_0012_02	004g	Gómez Tejada de los Reyes, Cosme	Clarín, que rosicleres troglodita,	Sonetos burlescos al suspiro de Crisaura – - II -
004g_0012_03	004g	Gómez Tejada de los Reyes, Cosme	Suspira el avariento por dinero,	Sonetos burlescos al suspiro de Crisaura – - III -
004e_0011	004e	Jovellanos, Gaspar Melchor de	Quiero que mi pasión, ¡oh Enarda!, sea,	A Enarda
004e_0012	004e	Jovellanos, Gaspar Melchor de	Ven, noche amiga; ven, y con tu manto	A la noche
004e_0013	004e	Jovellanos, Gaspar Melchor de	Sentir de una pasión viva y ardiente	A Clori
004e_0014	004e	Jovellanos, Gaspar Melchor de	Ven, ceñida de rayos y de flores	A la mañana
004e_0015	004e	Jovellanos, Gaspar Melchor de	De agudo mal el golpe no esperado	A la misma
004n_0008	004n	Arnao, Antonio	El que trocó la ley del despotismo	La muerte del Czar
004n_0009	004n	Arnao, Antonio	Tradición popular dice a la Historia	El soneto
004n_0010	004n	Arnao, Antonio	Joven adolescente, o tierno mozo,	El paje
004n_0011	004n	Arnao, Antonio	Manuel del corazón: hoy diecinueve	A Manuel del Palacio
004n_0012	004n	Arnao, Antonio	Madre inmortal, emblema de hermosura,	A la Virgen Santísima
004n_0013	004n	Arnao, Antonio	Del Horacio gentil copia cristiana,	Fray Luis de León
004n_0014	004n	Arnao, Antonio	Si conquistara yo, con lid ardiente,	Quintana
004n_0015	004n	Arnao, Antonio	A ti, bella ciudad, reina de amores	A Murcia
004n_0016	004n	Arnao, Antonio	Casta su faz, bajo la blanca toca	La hermana de la caridad
004t_0089	004t	Guerrero Zacarías, Evangelina E.	Envuelto en sombras duerme en el misterio	EL PARQUE SOLITARIO
004t_0090	004t	Guerrero Zacarías, Evangelina E.	Rosas sangrantes sobre el mar desflora	BOCETO
004t_0091	004t	Guerrero Zacarías, Evangelina E.	Retornas a nosotros coronando	VINCITOR
004t_0092	004t	Guerrero Zacarías, Evangelina E.	En el vaso sombrío de mis penas	PRELUDIO
004t_0093	004t	Guerrero Zacarías, Evangelina E.	Mi hogar, entre las cañas escondido,	¡NO ME QUIERAS!
004t_0094	004t	Guerrero Zacarías, Evangelina E.	Como un vigía que en la noche vela	LA CRUZ
004t_0095	004t	Guerrero Zacarías, Evangelina E.	Eres la amiga tú, ¡noche piadosa!	LA NOCHE
004t_0096	004t	Guerrero Zacarías, Evangelina E.	Han florecido en mi balcón las rosas,	SONETO
005g_0013	005g	Betancourt, Joseph	Detén el curso rápido y violento,	Soneto
005e_0016	005e	Salas, Francisco Gregorio de	Suele el pastor que duerme prevenido	Del pastor
005e_0017	005e	Salas, Francisco Gregorio de	Al matutino canto valeroso	El labrador
005n_0017	005n	Torre, José María de la	No es posible fundir el pensamiento,	A Tula
005t_0097	005t	Gavira, José Hernández	A «la mujer» de tu ideal yo rindo	PARA PEPE HERNANDEZ GAVIRA
005t_0098	005t	Gavira, José Hernández	Día es de juventud y poesía	BRINDIS
005t_0099	005t	Gavira, José Hernández	Sobre el montón de calcinados huesos,	INRI
005t_0100	005t	Gavira, José Hernández	Se secarán las rosas del tributo	A ROMAN JOVEN
005t_0101	005t	Gavira, José Hernández	Es algo que deslustra el libro de la gesta,	NUESTRO DON JUAN TENORIO
005t_0102	005t	Gavira, José Hernández	Otra vez triunfarás Doña Locura	MADAME LOCURA
005t_0103	005t	Gavira, José Hernández	¡Tu vives! Mientras Átropos maldita	BALINTAWAK
005t_0104	005t	Gavira, José Hernández	Mas, después, viene el sol del nuevo día	DESPERTAR
005t_0105	005t	Gavira, José Hernández	¡Por qué no le he de ser! Lo he sido,	¡LO QUE NO SE PUEDE MEDIR!
005t_0106	005t	Gavira, José Hernández	No es la gloria del bravo caudillaje,	ECCE HOMO
005t_0107	005t	Gavira, José Hernández	Cual si en tu sangre hubieses la grandeza	BLASÓN
005t_0108	005t	Gavira, José Hernández	Los salmos que proclaman tu victoria	PRESIDENTE
005t_0109	005t	Gavira, José Hernández	Es la flor que tu nombre reproduce	NATY NARCISO
005t_0110	005t	Gavira, José Hernández	Es un señor de medieval grandeza	EL SEÑOR PODEROSO CARNAVAL
005t_0111	005t	Gavira, José Hernández	Ante la tumba fría que guarda tus despojos,	SALVE, GENERAL
005t_0112	005t	Gavira, José Hernández	Al rodar incesante de la rueca	SU MAJESTAD EL BUHO
005t_0113	005t	Gavira, José Hernández	Una vaga inquietud indescriptible	INQUIETUD
005t_0114	005t	Gavira, José Hernández	¡Nunca mas! ¡Nunca mas! ¡Cuanto vacío!	¡NUNCA MAS!
005t_0115	005t	Gavira, José Hernández	Yo me río del paria que me insulta	MI RISA LOCA
005t_0116	005t	Gavira, José Hernández	Sobre la ciudad Blanca del misterio	A UNA MUERTA
005t_0117	005t	Gavira, José Hernández	Sed tengo. Padre Mío, sed ardiente	AMAITAKO
005t_0118	005t	Gavira, José Hernández	¡Está triste Don Quijote! En el llano	ESTA TRISTE DON QUIJOTE
005t_0119	005t	Gavira, José Hernández	Este señor Alcalde, Juan Posadas,	SEÑOR DON JUAN
005t_0120	005t	Gavira, José Hernández	¿Majestad? ¡Por qué no! Vos sois reina	SALVE, MAJESTAD
005t_0121	005t	Gavira, José Hernández	Divina Mandi, Rosa cebuana,	MANDI
005t_0122	005t	Gavira, José Hernández	¡Rosarito! Cantarte no sería	ROSARITO
005t_0123	005t	Gavira, José Hernández	Era como una rosa que entreabiera	UNA ROSA AL PASAR
005t_0124	005t	Gavira, José Hernández	Sobre el verdor inmenso del paisaje	DEL CHIVO AGUAFUERTE
005t_0125	005t	Gavira, José Hernández	Majestad: aún perdum la quimera	MATERNIDAD
005t_0126	005t	Gavira, José Hernández	Frente al espejo de la Blanca Nieve	NIVEA
005t_0127	005t	Gavira, José Hernández	La inquietud de la vida que se pierde	LO DE SIEMPRE
006g_0014	006g	Ortiz Melgarejo, Antonio	¿En qué fresco jardín de olor divino,	A Lope de Vega Carpio
006n_0018	006n	González León, Francisco	Herida la melómana pianista,	Ensueño musical
006t_0128	006t	Gurrea Monasterio, Adelina	Este gran caballero, fe y virtud franciscanas,	A ENRIQUE FERNANDEZ LUMBA
006t_0129	006t	Gurrea Monasterio, Adelina	Encerrada en mis tristes soledades	¿POR QUÉ?
006t_0130	006t	Gurrea Monasterio, Adelina	¡Ella! La que buscando por los mares	ESPAÑA
006t_0131	006t	Gurrea Monasterio, Adelina	Tesoro, aunque una sombra te mecía	AMÉRICA
006t_0132	006t	Gurrea Monasterio, Adelina	Lirio flotante sobre un mar bordado	FILIPINAS
007g_0015	007g	Mergelina, Alonso de	Eternizó las horas transitorias	A la muerte de Lope de Vega
007e_0021	007e	Alonso, José Vicente	A Limano jurábale Filena	El juramento quebrantado
007n_0019	007n	Zamora Elizondo, Hernán	Deja ya de volar, repliega el ala,	Consejo a la mora
007n_0020	007n	Zamora Elizondo, Hernán	Poeta profesor de la esperanza	Luz de sangre
007n_0021	007n	Zamora Elizondo, Hernán	Pasito a pasito, temerosamente,	Te miro en la marcha
007n_0022	007n	Zamora Elizondo, Hernán	Por la sombra ritual de la capilla	La última samaritana
007t_0133	007t	Hilario, Zoilo J.	Con la vista elevada hacia el Parnaso,	MUSA HISPANISTA
007t_0134_01	007t	Hilario, Zoilo J.	Hermanos: Dios nos dio una placentera	ARENGAS PATRIÓTICAS – I PATRIOTISMO
007t_0134_02	007t	Hilario, Zoilo J.	Compatriotas: la madre Filipinas	ARENGAS PATRIÓTICAS – II HERMANDAD
007t_0135	007t	Hilario, Zoilo J.	Sin la Balanza, Themis no podría	EL SÍMBOLO DE LA JUSTICIA
007t_0136	007t	Hilario, Zoilo J.	La Paz en la Justicia asegurada	CANTO A LA PAZ
007t_0137_01	007t	Hilario, Zoilo J.	Loada seas mil veces, oh Prensa	HIMNO A LA PRENSA – I
007t_0137_02	007t	Hilario, Zoilo J.	Ya es hora de alzar un himno sonoro	HIMNO A LA PRENSA – II
007t_0138	007t	Hilario, Zoilo J.	Dad a la Ancianidad, conciudadanos	RESPETO A LA ANCIANIDAD
007t_0139	007t	Hilario, Zoilo J.	Las razas, adorando a Dios de veras,	CON DIOS SIEMPRE
007t_0140	007t	Hilario, Zoilo J.	El cielo prometido a los cristianos	ESCALERA DE ORO
007t_0141	007t	Hilario, Zoilo J.	Bello Jesús de mis santos amores,	A CRISTO REY
007t_0142	007t	Hilario, Zoilo J.	General Roxas, hijo favorito	LAUDANZA
007t_0143	007t	Hilario, Zoilo J.	A la sombra de la amistad más pura,	LA MOSCA
007t_0144	007t	Hilario, Zoilo J.	Buen Don Leandro: cuando dirigías	LEANDRO LACÓNICO LUNA
007t_0145	007t	Hilario, Zoilo J.	Los esbirros que andaban a tu caza	DR. ÁNGEL B. TRINIDAD (I)
007t_0146	007t	Hilario, Zoilo J.	Predilecto Toñing, bardo cebuano,	ANTONIO CLIMACO
007t_0147_01	007t	Hilario, Zoilo J.	Bernabé: hubo real pena fraterna	MANUEL BERNABÉ – 1
007t_0147_02	007t	Hilario, Zoilo J.	En Madrid, como aquí, pruebas radiantes	MANUEL BERNABÉ – II
007t_0148_01	007t	Hilario, Zoilo J.	Claro M. Recto fue una luminaria	CLARO M. RECTO – I
007t_0148_02	007t	Hilario, Zoilo J.	Recto fue para sus connacionales	CLARO M. RECTO – II
007t_0149_01	007t	Hilario, Zoilo J.	He de procurar en este momento	PATRICIO MARIANO – 1
007t_0149_02	007t	Hilario, Zoilo J.	Traductor de los libros rizalinos	PATRICIO MARIANO – II
007t_0149_03	007t	Hilario, Zoilo J.	Moriste cuando de santa alegría	PATRICIO MARIANO – III
007t_0150_01	007t	Hilario, Zoilo J.	Don Marcelo Boncan: bien rememoro	HON. MARCELO BONCAN – I
007t_0150_02	007t	Hilario, Zoilo J.	No olvidaré que en la Legislatura	HON. MARCELO BONCAN – II
007t_0151	007t	Hilario, Zoilo J.	En su existencia fue Honorio Ventura	HONORIO VENTURA
007t_0152	007t	Hilario, Zoilo J.	Trazar deseo en versos imparciales	ROMAN OZAETA
007t_0153_01	007t	Hilario, Zoilo J.	Yo alzo mi ánfora de plata en honor de tus honores	YO CANTO EN TUS FIESTAS... – I
