author	aid	normdate	birth	death	raw	hasbirth	hasdeath	hasdates	estimate	place-birth	place-death	country-birth	continent-birth	first-name	preposition-name	second-name	gender	viafid	vf_bi	vf_de	vf_bi_esti	vf_de_esti	birth_diff	death_diff	vf_cand_n	auname_viaf	redo	match_type	vf_validation
López de Zúñiga, Ruiz	202g	16.5	XVI	XVII	España. Siglos. XVI - XVII Poeta. Catedrático de la Universidad de Alcalá.	0	0	0	0	España		España	Europa	Ruiz		López de Zúñiga	M												medium
López del Valle, Juan	085g	16.5	XVI	XVII	España. Siglos XVI - XVII	0	0	0	0	España		España	Europa	Juan		López del Valle	M												medium
Maluenda, Antonio de	121g	16.5	1563	1630	Español. 1563 - 1630 Abad y poeta.	1	1	1	0	Español		España	Europa	Antonio	de	Maluenda	M	133542033	1492	1580	False	False	71	50	4	Antonio Maluenda, 1492 1580		exact	high
Marqués de Tarifa, El	019g	16.5	XVI	XVII	España. Siglos XVI - XVII Poeta.	0	0	0	0	España		España	Europa	El		Marqués de Tarifa	M												medium
Marqués del Aula, El	406g	16.5	XVI	XVII	España. Siglos XVI - XVII	0	0	0	0	España		España	Europa	El		Marqués del Aula	M												medium
Martín de la Plaza, Luis	318g	16.5	1577	1635	Antequera (Málaga). 1577 - 1635 Sacerdote de la Colegiata de su ciudad natal.	1	1	1	0	Antequera (Málaga)		España	Europa	Luis		Martín de la Plaza	M	45138913	1577	1625	False	False	0	10	2	Luis Martin la Plaza, 1577 1625		exact	high
Mesa, Cristóbal de	410g	16.5	1562	1633	Zafra (Badajoz). 1562 - Madrid. 1633 Estudió Derecho en Salamanca. Se ordenó sacerdote. Protegido del Duque de Béjar. Amigo de Cervantes y enemigo de Lope. Poeta y literato.	1	1	1	0	Zafra (Badajoz)	Madrid	España	Europa	Cristóbal	de	Mesa	M	50916652	1561	1633	True	True	1	0	9	Cristobal Mesa, 1561? 1633?		exact	high
Minaya, Gabriel de	434g	16.5	XVI	XVII	España. Siglos XVI - XVII Poeta nombrado por Juan de Castellanos en su Elegías de Varones Ilustres.	0	0	0	0	España		España	Europa	Gabriel	de	Minaya	M												medium
Mohedano, Antonio de	430g	16.5	1561	1621	Antequera (Málaga). 1561 - Lucena (Córdoba). 1621 Poeta. Pintor discípulo de Pablo de Céspedes. Residió en Sevilla donde pintó el claustro de San Francisco.	1	1	1	0	Antequera (Málaga)	Lucena (Córdoba)	España	Europa	Antonio	de	Mohedano	M												medium
Monteser, Silvia	108g	16.5	XVI	XVII	España. Siglos XVI - XVII Poeta.	0	0	0	0	España		España	Europa	Silvia		Monteser	F												medium
Morales, Jacinta MarÍa de	038g	16.5	XVI	XVII	España. Siglos XVI - XVII Poeta.	0	0	0	0	España		España	Europa	Jacinta MarÍa	de	Morales	F												medium
Morales, Juan de	315g	16.5	XVI	XVII	Málaga. Siglos XVI - XVII Poeta. Discípulo de Juan de Valencia. Corrector y provincial del Convento de Málaga.	0	0	0	0	Málaga		España	Europa	Juan	de	Morales	M	145145856968922920782								Juan de Morales			high
Mosquera de Figueroa, Cristóbal	177g	16.5	1547	1610	España. Siglos ¿XIV - XVII? Poeta. FECHAS DISPO EN OTRAS FUENTES (PR)	0	0	0	1	España		España	Europa	Cristóbal		Mosquera de Figueroa	M	87137566	1547	1610	True	False	0	0	8	Cristobal Mosquera Figueroa, 1547? 1610		exact	high
Murillo, Diego (Padre)	362g	16.5	XVI	XVII	España. Siglos XVI - XVII Poeta y religioso.	0	0	0	0	España		España	Europa	Diego (Padre)		Murillo	M												medium
Narváez Rojas, Rodrigo de	412g	16.5	XVI	XVII	España. Siglos XVI - XVII	0	0	0	0	España		España	Europa	Rodrigo	de	Narváez Rojas	M												medium
Narváez, Hipólita de	298g	16.5	XVI	XVII	Antequera (Málaga). Siglo XVI y XVII Hermana de Luciana de Narváez.	0	0	0	0	Antequera (Málaga)		España	Europa	Hipólita	de	Narváez	F												medium
Nieto Molina, Francisco	111g	16.5	XVI	XVII	España. Siglos XVI - XVII Poeta y autor de La Perrromaquia	0	0	0	0	España		España	Europa	Francisco		Nieto Molina	M	87784142								Francisco Nieto Molina			high
Ortigal de Cervantes	146g	16.5	XVI	XVII	España. Siglo XVI - XVII Poeta. Soneto aparecido en las obras de don Diego de Mendoza, publicadas en 1610.	0	0	0	0	España		España	Europa	Ortigal de Cervantes			M												medium
Oña, Pedro de	028g	16.5	1570	1643	Ciudad de los Infantes (Chile). 1570 - 1643 Poeta. Estudió en el Real Colegio Mayor de San Felipe, Lima. Intentó una continuación de La Araucana, de Ercilla.	1	1	1	0	Chile		Chile	América	Pedro	de	Oña	M	79140452	1570	1643	True	True	0	0	6	Pedro Ona, 1570? 1643?	1	exact	high
Pacheco, Francisco	088g	16.5	1571	1654	Sevilla 1571 - 1654 Pintor. Maestro y padre político de Velásquez. Poeta. Autor del libro Arte de la Pintura	1	1	1	0	Sevilla		España	Europa	Francisco		Pacheco	M	120704944	1564	1644	False	False	7	10	8	Francisco Pacheco, 1564 1644	1	exact	high
Piña, Juan de	483g	16.5	XVI	XVII	España. Siglos XVI - XVII Poeta. Amigo de Lope de Vega. El mejor y más querido amigo.	0	0	0	0	España		España	Europa	Juan	de	Piña	M	34883371	1582	1657	False	False	82	57	8	Juan Pina, 1582 1657		exact	high
Quirós, Pedro de	244g	16.5	1590	1667	Sevilla. 1590 - Madrid. 1667 Poeta. De la Orden de Frailes Menores. Discípulo de Herrera y de Rioja. Visitador general de su provincia.	1	1	1	0	Sevilla	Madrid	España	Europa	Pedro	de	Quirós	M	87149630	1600	1667	True	False	10	0	8	Pedro Quiros 1600? 1667		exact	high
Rey de Artieda, Andrés	229g	16.5	1544	1613	Valencia. 1544 - Valencia. 1613 Poeta, autor dramático y militar. Estuvo en la batalla de Lepanto.	1	1	1	0	Valencia	Valencia	España	Europa	Andrés		Rey de Artieda	M	37058693	1549	1613	False	False	5	0	6	Andres Rey Artieda, 1549 1613		exact	high
Ribellas y de Villanoua, Miguel	323g	16.5	XVI	XVII	España. Siglo XVI - XVII En la obra de Rey de Artieda, Los Amantes de 1581, en los preliminares hay un laudatorio de este poeta al autor.	0	0	0	0	España		España	Europa	Miguel		Ribellas y de Villanoua	M												medium
Ribera, Simón de	225g	16.5	XVI	XVII	España. Siglo XVI - XVII	0	0	0	0	España		España	Europa	Simón	de	Ribera	M												medium
Roa, Martín de	210g	16.5	1563	1637	Córdoba. 1563 - Montilla (Córdoba). 1637 Poeta. Jesuita. Rector del Colegio de Málaga. Teólogo, filósofo e historiador.	1	1	1	0	Córdoba	Montilla (Córdoba)	España	Europa	Martín	de	Roa	M	22377700	1561	1637	False	False	2	0	5	Martin Roa, 1561 1637		exact	high
Rodríguez de Cifuentes, Juan	032g	16.5	XVI	XVII	Cuba. Siglos XVI - XVII Poeta y regidor.	0	0	0	0	Cuba		Cuba	América	Juan		Rodríguez de Cifuentes	M												medium
Rojas Villandrando, Agustín de	145g	16.5	1572	1618	Madrid. 1572 - Paredes de Nava (Palencia). 1618 Poeta. Comediante. Notario eclesiástico.	1	1	1	0	Madrid	Paredes de Nava (Palencia)	España	Europa	Agustín	de	Rojas Villandrando	M	310501670	1572	1612	False	True	0	6	6	Agustin Rojas Villandrando 1572 1612?		exact	high
Rufo, Juan	343g	16.5	1547	1620	Córdoba. 1547 - 1620 Poeta. Jurado de Córdoba y cronista de Juan de Austria.	1	1	1	0	Córdoba		España	Europa	Juan		Rufo	M	100241087	1547	1620	True	True	0	0	10	Juan Rufo, 1547? 1620?		exact	high
Ruiz de Alarcón, Juan	420g	16.5	1581	1639	México. 1581 - Madrid. 1639 Poeta español. Autor dramático. Con Lope, Quevedo y Calderón considerado entre los mejores autores teatrales del mundo. Su joroba fue la crítica de muchos de estos autores.	1	1	1	0	México	Madrid	México	América	Juan		Ruiz de Alarcón	M	88975006	1581	1639	True	False	0	0	2	Juan Ruiz Alarcon y Mendoza		contained	high
Salas Barbadillo, Alonso de	396g	16.5	1581	1635	Madrid. 1581 - 1635 Es Alonso Jerónimo de Salas Barbadillo, poeta y novelista amigo y rival de Lope.	1	1	1	0	Madrid		España	Europa	Alonso	de	Salas Barbadillo	M												medium
Salazar y Alarcón, Eugenio	448g	16.5	1530	1604	Madrid. 1530 - 1604 Estudió en Alcalá, Salamanca y Sigüenza. Licenciado en Leyes. Juez en Asturias. Gobernador de Canarias. Fiscal de Guatemala y de México. Consejero de Indias.	1	1	1	0	Madrid		España	Europa	Eugenio		Salazar y Alarcón	M	54402277	1530	1602	False	False	0	2	1	Eugenio Salazar y Alarcon, 1530 1602		exact	high
Salinas y Borja, Cosme	120g	16.5	XVI	XVII	España. Siglos XVI - XVII Poeta.	0	0	0	0	España		España	Europa	Cosme		Salinas y Borja	M												medium
Salinas, Juan de	181g	16.5	1562	1643	Sevilla. 1562 - 1643 Estudió en Salamanca con Góngora con quien compartió versos y amistades. Recibió las órdenes sacerdotales y fue administrador del Hospital de Sevilla.	1	1	1	0	Sevilla		España	Europa	Juan	de	Salinas	M	19701484	1562	1643	True	False	0	0	10	Juan Salinas, 1562? 1643		exact	high
Seriol, Mariano (Doctor)	054g	16.5	XVI	XVII	España. Siglos XVI - XVII Poeta y comediógrafo.	0	0	0	0	España		España	Europa	Mariano (Doctor)		Seriol	M												medium
Silva y Mendoza, Diego de	003g	16.5	1564	1630	España. 1564 - 1630	1	1	1	0	España		España	Europa	Diego	de	Silva y Mendoza	M	19688235	1564	1630	False	False	0	0	5	Diego Silva y Mendoza, conde Salinas, 1564 1630	1	exact	high
Soler, Francisco	061g	16.5	XVI	XVII	España. Siglos XVI - XVII Nombrado por Juan de Castellanos en su Elegías de Varones Ilustres y como vecino de Tunja.	0	0	0	0	España		España	Europa	Francisco		Soler	M	6158933	1836	1900	False	False	336	300	10	Francisco Soler y Rovirosa	1	contained	low
Soto, Luis de	116g	16.5	XVI	XVII	España. Siglos XVI - XVII Poeta.	0	0	0	0	España		España	Europa	Luis	de	Soto	M	99878104	1526	1610	False	False	26	10	10	Luis Sotomaior, 1526 1610, O.P		wordpart	low
Stornell, Pere Juan de	136g	16.5	XVI	XVII	Valencia. España. Siglos XVI - XVII Este soneto aparece en la obra dramática de Rey de Artieda, de 1581, Los Amantes	0	0	0	0	Valencia		España	Europa	Pere Juan	de	Stornell	M												medium
Suárez de Figueroa, Cristóbal	345g	16.5	1571	1639	Valladolid. 1571 - Nápoles. 1639 Escritor y poeta.	1	1	1	0	Valladolid	Nápoles	España	Europa	Cristóbal		Suárez de Figueroa	M	121968340	1571	1644	False	False	0	5	8	Cristobal Suarez Figueroa, ca. 1571 1644		exact	high
Sánchez, Gonzalo	287g	16.5	XVI	XVII	España. ¿siglos XVI - XVII? Poeta que figura en un códice de distintos poetas en la Biblioteca Universitaria de Salamanca con el título de Cartapacio Poético del Colegio de Cuenca.	0	0	0	1	España		España	Europa	Gonzalo		Sánchez	M	22137317	1945		False	False	445		10	Gonzalo Sanchez G.		contained	low
Tejada Páez, Agustín	385g	16.5	1568	1635	Antequera. Málaga. 1568 - 1635 Poeta y doctor en Sagradas Ciencias.	1	1	1	0	Antequera		España	Europa	Agustín		Tejada Páez	M												medium
Terrazas, Francisco de	236g	16.5	1540	1600	México. 1540 - 1600 Considerado el primer poeta que publicó versos en en la América Española. Hijo de un mayordomo de Hernán Cortés. El propio Cervantes tiene elogios para él en La Galatea (1584)	1	1	1	0	México		México	América	Francisco	de	Terrazas	M	282759218	1525	1600	False	False	15	0	5	Francisco Terrazas, 1525 1600		exact	high
Turia, Ricardo de	175g	16.5	XVI	XVII	Valencia. Siglos XVI - XVII Su nombre es un seudónimo. Escritor. Dramaturgo y poeta.	0	0	0	0	Valencia		España	Europa	Ricardo	de	Turia	M	90727631	1578	1640	False	False	78	40	4	Ricardo Turia, 1578 1640		exact	high
Téllez Girón, Pedro	480g	16.5	1574	1624	Osuna. Sevilla. 1574 - Madrid. 1624 Tercer Duque de Osuna. Militar y poeta.	1	1	1	0	Osuna	Madrid	España	Europa	Pedro		Téllez Girón	M	64065219	1574	1624	False	False	0	0	10	Pedro Tellez Giron Osuna		contained	high
Valdés y Menéndez, Juan de	105g	16.5	XVI	XVII	España. Siglos XVI - XVII Poeta.	0	0	0	0	España		España	Europa	Juan	de	Valdés y Menéndez	M												medium
Vargas Machuca, Bernardo de	444g	16.5	1557	1622	Simancas. Valladolid. 1557 - Madrid. 1622 Escritor, marino de guerra, director de la Academia de la Historia de San Fernando. Diputado por Cádiz.	1	1	1	0	Simancas	Madrid	España	Europa	Bernardo	de	Vargas Machuca	M	66600500	1555	1622	True	False	2	0	3	Bernardo Vargas Machuca, 1555? 1622		exact	high
Vargas Manrique, Luis de	010g	16.5	XVI	XVII	España. Siglo XVI - XVII Poeta.	0	0	0	0	España		España	Europa	Luis	de	Vargas Manrique	M												medium
